Table 78,,,,,
Full-time Law Enforcement Employees,,,,,
"by State by City, 2009",,,,,
State,City,Population,Total law enforcement employees,Total officers,Total civilians
,Port Lavaca,"11,375",24,18,6
,Port Neches,"12,501",21,18,3
,Poteet,"3,677",5,5,0
,Poth,"2,418",3,3,0
,Pottsboro,"2,162",7,7,0
,Premont,"2,791",6,6,0
,Presidio,"4,753",5,4,1
,Primera,"4,319",6,6,0
,Princeton,"6,519",12,11,1
,Progreso,"5,588",9,9,0
,Prosper,"8,005",15,9,6
,Queen City,"1,541",6,6,0
,Quinlan,"1,438",4,4,0
,Quitman,"2,254",6,6,0
,Ralls,"1,946",3,3,0
,Rancho Viejo,"1,854",8,8,0
,Ranger,"2,557",5,5,0
,Ransom Canyon,"1,125",3,3,0
,Raymondville,"9,502",22,13,9
,Red Oak,"9,852",22,20,2
,Refugio,"2,694",7,6,1
,Reno,"3,121",5,4,1
,Richardson,"102,675",237,147,90
,Richland Hills,"8,090",28,19,9
,Richmond,"13,706",41,30,11
,Richwood,"3,502",10,8,2
,Riesel,"1,016",3,3,0
,Rio Grande City,"14,167",35,26,9
,Rising Star,826,1,1,0
,River Oaks,"6,961",24,18,6
,Roanoke,"4,429",31,23,8
,Robinson,"10,642",29,20,9
,Robstown,"12,106",32,25,7
,Rockdale,"5,983",15,9,6
,Rockport,"10,026",23,21,2
,Rockwall,"37,856",93,68,25
,Rollingwood,"1,438",6,6,0
,Roma,"11,441",36,27,9
,Roman Forest,"4,219",7,7,0
,Ropesville,508,1,1,0
,Roscoe,"1,260",1,1,0
,Rosebud,"1,320",2,2,0
,Rose City,502,2,1,1
,Rosenberg,"34,838",83,62,21
,Round Rock,"110,531",200,141,59
,Rowlett,"57,119",129,75,54
,Royse City,"10,277",16,15,1
,Runaway Bay,"1,463",4,4,0
,Rusk,"5,330",12,11,1
,Sabinal,"1,625",3,3,0
,Sachse,"19,996",38,27,11
,Saginaw,"21,388",44,37,7
,Salado,"2,071",4,4,0
,San Angelo,"92,269",191,158,33
,San Antonio,"1,373,936","2,809","2,259",550
,San Augustine,"2,333",7,6,1
,San Benito,"25,176",50,42,8
,San Diego,"4,401",7,6,1
,San Felipe,985,4,3,1
,Sanger,"8,209",15,13,2
,San Juan,"34,896",48,38,10
,San Marcos,"55,187",127,96,31
,San Saba,"2,481",4,4,0
,Sansom Park Village,"4,198",17,12,5
,Santa Anna,"1,010",2,2,0
,Santa Fe,"10,578",28,21,7
,Santa Rosa,"3,163",6,6,0
,Schertz,"31,984",63,46,17
,Schulenburg,"2,690",7,6,1
,Seabrook,"11,777",39,33,6
,Seadrift,"1,442",2,2,0
,Seagoville,"12,133",29,21,8
,Seagraves,"2,351",5,4,1
,Sealy,"6,383",18,16,2
,Seguin,"26,705",64,47,17
,Selma,"5,626",29,26,3
,Seminole,"6,149",12,11,1
,Seven Points,"1,328",11,6,5
,Seymour,"2,590",10,7,3
,Shallowater,"2,312",5,5,0
,Shamrock,"1,786",7,3,4
,Shavano Park,"3,332",17,16,1
,Shenandoah,"2,066",26,23,3
,Sherman,"38,414",88,64,24
,Silsbee,"6,923",24,16,8
,Sinton,"5,321",11,10,1
,Slaton,"5,770",17,13,4
,Smithville,"4,534",17,10,7
,Snyder,"10,376",22,20,2
,Socorro,"32,522",33,24,9
,Somerville,"1,683",6,6,0
,Sonora,"3,054",7,5,2
,Sour Lake,"1,744",8,7,1
,South Houston,"16,410",38,30,8
,Southlake,"27,189",61,52,9
,South Padre Island,"2,884",38,27,11
,Southside Place,"1,680",9,5,4
,Spearman,"2,937",4,4,0
,Springtown,"3,274",16,11,5
,Spring Valley,"3,910",23,18,5
,Spur,923,2,2,0
,Stafford,"19,990",64,46,18
,Stamford,"3,060",9,7,2
,Stanton,"2,193",4,4,0
,Stephenville,"17,151",48,36,12
,Stratford,"1,905",4,4,0
,Sudan,973,1,1,0
,Sugar Land,"82,696",179,139,40
,Sullivan City,"4,485",14,10,4
,Sulphur Springs,"15,564",40,29,11
,Sunrise Beach Village,758,5,5,0
,Sunset Valley,903,13,13,0
,Surfside Beach,896,6,6,0
,Sweeny,"3,612",7,7,0
,Sweetwater,"10,581",27,24,3
,Taft,"3,331",9,8,1
,Tahoka,"2,479",4,4,0
,Tatum,"1,215",4,3,1
,Taylor,"16,394",37,27,10
,Teague,"4,754",9,8,1
,Temple,"60,243",155,130,25
,Terrell,"20,300",49,33,16
,Terrell Hills,"5,266",15,14,1
,Texarkana,"36,812",102,92,10
,Texas City,"44,807",114,89,25
,The Colony,"44,448",75,51,24
,Thorndale,"1,313",2,2,0
,Thrall,939,3,3,0
,Three Rivers,"1,655",7,6,1
,Tioga,947,2,2,0
,Tolar,704,2,1,1
,Tomball,"10,345",51,37,14
,Tom Bean,"1,039",4,4,0
,Tool,"2,457",11,7,4
,Trinity,"2,725",13,6,7
,Trophy Club,"8,276",16,15,1
,Troup,"2,138",9,8,1
,Troy,"1,428",4,4,0
,Tulia,"4,535",12,7,5
,Tye,"1,138",4,4,0
,Tyler,"99,279",238,183,55
,Universal City,"18,821",37,27,10
,University Park,"25,026",49,38,11
,Uvalde,"16,171",51,39,12
,Valley View,793,3,3,0
,Van,"2,603",8,8,0
,Van Alstyne,"3,013",12,8,4
,Vernon,"10,849",33,22,11
,Victoria,"62,788",144,105,39
,Vidor,"11,023",31,23,8
,Waco,"125,098",329,246,83
,Waelder,997,5,4,1
,Wake Village,"5,659",8,7,1
,Waller,"2,051",7,6,1
,Wallis,"1,343",3,3,0
,Watauga,"24,235",54,36,18
,Waxahachie,"29,576",68,52,16
,Weatherford,"27,667",70,55,15
,Webster,"10,868",64,47,17
,Weimar,"2,021",8,7,1
,Wells,799,1,1,0
,Weslaco,"33,998",98,70,28
,West,"2,688",8,8,0
,West Columbia,"4,175",16,10,6
,West Lake Hills,"3,160",20,14,6
,West Orange,"3,803",11,9,2
,Westover Hills,730,14,11,3
,West Tawakoni,"1,760",6,6,0
,West University Place,"15,736",29,20,9
,Westworth,"3,141",19,14,5
,Wharton,"9,137",34,24,10
,Whitehouse,"7,957",22,15,7
,White Oak,"6,377",19,15,4
,Whitesboro,"4,056",13,8,5
,White Settlement,"16,471",48,34,14
,Whitney,"2,076",9,7,2
,Wichita Falls,"100,884",285,194,91
,Willis,"4,325",15,13,2
,Willow Park,"4,755",18,12,6
,Wills Point,"3,839",12,10,2
,Wilmer,"3,594",15,10,5
,Windcrest,"5,386",26,18,8
,Wink,907,1,1,0
,Winnsboro,"3,969",14,9,5
,Winters,"2,535",5,4,1
,Wolfe City,"1,640",2,2,0
,Wolfforth,"3,619",11,9,2
,Woodville,"2,266",10,9,1
,Woodway,"8,823",35,25,10
,Wortham,"1,090",4,3,1
,Wylie,"41,824",49,44,5
,Yoakum,"5,443",16,9,7
,Yorktown,"2,145",4,4,0
UTAH,Alta,372,8,4,4
,American Fork/Cedar Hills,"38,183",37,32,5
,Big Water,403,1,1,0
,Blanding,"3,280",5,5,0
,Bountiful,"44,591",52,37,15
,Brian Head,127,5,5,0
,Brigham City,"18,750",30,25,5
,Cedar City,"29,568",40,34,6
,Centerville,"15,763",20,17,3
,Clearfield,"27,913",43,30,13
,Clinton,"20,745",18,17,1
,Cottonwood Heights,"35,258",39,34,5
,Draper,"44,537",40,33,7
,East Carbon,"1,238",4,4,0
,Enoch,"5,263",6,4,2
,Ephraim,"5,341",5,5,0
,Fairview,"1,209",1,1,0
,Farmington,"17,788",16,13,3
,Garland,"2,060",4,4,0
,Grantsville,"9,402",12,10,2
,Gunnison,"3,080",3,3,0
,Harrisville,"6,367",10,9,1
,Heber,"10,068",15,13,2
,Helper,"1,852",7,6,1
,Hildale,"1,967",10,5,5
,Hurricane,"13,961",20,16,4
,Ivins,"8,294",10,7,3
,Kamas,"1,505",2,2,0
,Kanab,"3,786",8,6,2
,Kaysville,"26,363",22,20,2
,La Verkin,"4,602",4,4,0
,Layton,"65,947",98,71,27
,Lehi,"51,307",43,39,4
,Lindon,"10,666",15,14,1
,Logan,"49,105",94,60,34
,Lone Peak,"27,542",21,19,2
,Mantua,748,1,1,0
,Mapleton,"8,183",9,8,1
,Midvale,"28,099",56,46,10
,Minersville,813,1,1,0
,Moab,"5,130",19,14,5
,Monticello,"2,015",5,4,1
,Moroni,"1,326",1,1,0
,Mount Pleasant,"2,811",4,4,0
,Murray,"46,026",99,79,20
,Naples,"1,735",7,6,1
,Nephi,"5,459",10,8,2
,North Ogden,"17,897",20,17,3
,North Park,"12,739",10,9,1
,North Salt Lake,"14,026",18,16,2
,Ogden,"83,016",159,130,29
,Orem,"93,785",126,90,36
,Park City,"7,998",39,30,9
,Parowan,"2,615",3,3,0
,Payson,"17,890",18,17,1
,Perry,"4,080",6,6,0
,Pleasant Grove,"35,016",33,25,8
,Pleasant View,"7,183",9,8,1
,Price,"7,957",19,17,2
,Provo,"119,472",147,100,47
,Richfield,"7,220",15,13,2
,Riverdale,"8,135",23,19,4
,Roosevelt,"5,088",14,12,2
,Roy,"35,761",44,37,7
,Salem,"6,635",10,9,1
,Salina,"2,403",5,4,1
,Salt Lake City,"180,724",584,427,157
,Sandy,"97,031",145,115,30
,Santaquin/Genola,"9,990",10,10,0
,Saratoga Springs,"21,450",20,17,3
,Smithfield,"9,770",9,8,1
,South Jordan,"54,042",58,48,10
,South Ogden,"15,989",30,25,5
,South Salt Lake,"21,448",77,63,14
,Spanish Fork,"32,882",31,28,3
,Springville,"29,395",38,27,11
,St. George,"75,391",141,102,39
,Stockton,588,1,1,0
,Sunset,"4,892",9,8,1
,Syracuse,"24,168",21,19,2
,Taylorsville City,"58,472",60,57,3
,Tooele,"30,851",36,32,4
,Tremonton,"6,891",12,10,2
,Vernal,"8,769",26,23,3
,Washington,"19,183",21,17,4
,Wellington,"1,553",4,4,0
,West Bountiful,"5,402",11,10,1
,West Jordan,"107,113",142,103,39
,West Valley,"124,472",232,188,44
,Willard,"1,752",2,2,0
,Woods Cross,"8,946",14,12,2
VERMONT,Barre,"8,790",28,19,9
,Barre Town,"8,049",7,6,1
,Bellows Falls,"2,873",11,7,4
,Bennington,"15,026",32,25,7
,Berlin,"2,818",7,6,1
,Brandon,"3,860",8,7,1
,Brattleboro,"11,438",31,25,6
,Burlington,"38,794",127,93,34
,Chester,"2,995",5,4,1
,Colchester,"17,274",35,28,7
,Dover,"1,434",6,5,1
,Essex,"19,759",32,26,6
,Hardwick,"3,209",6,5,1
,Hartford,"10,730",31,21,10
,Lyndonville,"1,214",3,3,0
,Manchester,"4,279",12,8,4
,Middlebury,"8,281",16,14,2
,Milton,"10,853",13,12,1
,Montpelier,"7,731",25,17,8
,Morristown,"5,606",11,11,0
,Newport,"5,163",13,11,2
,Northfield,"5,735",6,5,1
,Randolph,"5,057",5,5,0
,Richmond,"4,167",4,4,0
,Rutland,"16,688",49,38,11
,Shelburne,"7,161",19,11,8
,South Burlington,"17,893",47,39,8
,Springfield,"8,551",21,16,5
,St. Albans,"7,207",28,17,11
,Swanton,"6,451",6,5,1
,Waterbury,"5,399",4,4,0
,Windsor,"3,585",8,7,1
,Winhall,796,6,5,1
,Winooski,"6,401",20,15,5
VIRGINIA,Abingdon,"8,034",27,25,2
,Alexandria,"146,145",445,316,129
,Altavista,"3,362",12,12,0
,Amherst,"2,216",5,5,0
,Appalachia,"1,729",6,5,1
,Ashland,"7,152",27,24,3
,Bedford,"6,335",26,23,3
,Berryville,"3,187",10,9,1
,Big Stone Gap,"5,652",18,16,2
,Blacksburg,"42,047",79,62,17
,Blackstone,"3,568",14,10,4
,Bluefield,"5,122",23,17,6
,Boykins,599,1,1,0
,Bridgewater,"5,458",9,9,0
,Bristol,"17,502",76,55,21
,Broadway,"3,335",4,4,0
,Brookneal,"1,248",3,3,0
,Buena Vista,"6,509",17,15,2
,Burkeville,470,1,1,0
,Cape Charles,"1,510",5,5,0
,Cedar Bluff,"1,039",2,2,0
,Charlottesville,"41,798",144,116,28
,Chase City,"2,307",10,9,1
,Chatham,"1,543",3,3,0
,Chesapeake,"223,261",501,371,130
,Chilhowie,"1,737",6,6,0
,Chincoteague,"4,293",14,10,4
,Christiansburg,"19,775",69,53,16
,Clarksville,"1,251",8,7,1
,Clifton Forge,"3,895",14,10,4
,Clintwood,"1,517",4,4,0
,Coeburn,"1,974",8,7,1
,Colonial Beach,"3,859",16,11,5
,Colonial Heights,"17,932",53,49,4
,Covington,"6,124",28,17,11
,Crewe,"2,274",5,5,0
,Culpeper,"14,562",49,41,8
,Damascus,"1,081",5,5,0
,Danville,"44,442",144,135,9
,Dayton,"1,354",9,8,1
,Dublin,"2,180",9,8,1
,Dumfries,"4,792",15,13,2
,Edinburg,903,2,2,0
,Elkton,"2,625",7,6,1
,Emporia,"5,662",36,26,10
,Exmore,"1,341",7,7,0
,Fairfax City,"24,194",83,65,18
,Falls Church,"11,301",41,32,9
,Farmville,"7,462",25,24,1
,Franklin,"8,980",39,26,13
,Fredericksburg,"23,326",98,72,26
,Fries,546,1,1,0
,Front Royal,"14,731",45,35,10
,Galax,"6,828",38,24,14
,Gate City,"2,037",5,5,0
,Glade Spring,"1,538",2,2,0
,Glasgow,"1,003",1,1,0
,Glen Lyn,164,1,1,0
,Gordonsville,"1,720",6,6,0
,Gretna,"1,185",4,4,0
,Grottoes,"2,192",6,5,1
,Grundy,947,4,4,0
,Halifax,"1,280",5,5,0
,Hampton,"145,932",348,277,71
,Harrisonburg,"44,597",103,87,16
,Haymarket,"1,268",6,5,1
,Haysi,308,2,2,0
,Herndon,"22,078",72,56,16
,Hillsville,"2,630",12,11,1
,Honaker,"1,438",4,3,1
,Hopewell,"23,324",67,56,11
,Hurt,"1,208",2,2,0
,Independence,887,2,2,0
,Jonesville,964,3,3,0
,Kenbridge,"1,273",5,5,0
,Kilmarnock,"1,287",5,5,0
,La Crosse,586,2,2,0
,Lawrenceville,"1,342",6,6,0
,Lebanon,"3,186",12,11,1
,Leesburg,"41,092",96,80,16
,Lexington,"7,049",17,15,2
,Louisa,"1,583",6,6,0
,Luray,"4,840",13,11,2
,Lynchburg,"73,735",226,169,57
,Manassas,"35,321",122,90,32
,Manassas Park,"11,477",47,31,16
,Marion,"5,965",21,19,2
,Martinsville,"14,509",59,53,6
,Middleburg,979,5,5,0
,Middletown,"1,154",2,2,0
,Mount Jackson,"2,014",4,4,0
,Narrows,"2,151",4,4,0
,New Market,"1,865",5,5,0
,Newport News,"180,174",554,408,146
,Norfolk,"235,097",877,755,122
,Norton,"3,697",24,17,7
,Occoquan,824,1,1,0
,Onancock,"1,375",4,4,0
,Onley,468,4,4,0
,Orange,"4,688",17,14,3
,Parksley,785,3,3,0
,Pearisburg,"2,767",8,7,1
,Pembroke,"1,166",2,2,0
,Pennington Gap,"1,721",6,6,0
,Petersburg,"32,966",143,96,47
,Pocahontas,417,1,1,0
,Poquoson,"11,902",24,22,2
,Portsmouth,"100,970",330,241,89
,Pound,"1,070",5,5,0
,Pulaski,"8,932",36,27,9
,Purcellville,"5,338",15,14,1
,Quantico,614,2,2,0
,Radford,"16,216",48,34,14
,Rich Creek,682,1,1,0
,Richlands,"3,983",25,19,6
,Richmond,"203,233",872,724,148
,Roanoke,"93,110",302,252,50
,Rocky Mount,"4,536",20,18,2
,Rural Retreat,"1,346",1,1,0
,Salem,"25,616",95,66,29
,Saltville,"2,207",6,6,0
,Shenandoah,"1,856",5,5,0
,Smithfield,"7,115",26,22,4
,South Boston,"7,822",29,27,2
,South Hill,"4,558",22,20,2
,Stanley,"1,562",3,3,0
,Staunton,"24,072",64,49,15
,Stephens City,"1,505",4,4,0
,St. Paul,963,4,4,0
,Strasburg,"4,405",22,20,2
,Suffolk,"84,929",234,181,53
,Tappahannock,"2,202",11,10,1
,Tazewell,"4,247",16,14,2
,Timberville,"1,714",4,4,0
,Victoria,"1,722",6,5,1
,Vienna,"14,946",51,40,11
,Vinton,"7,879",28,22,6
,Virginia Beach,"436,175",944,780,164
,Warrenton,"9,235",22,20,2
,Warsaw,"1,350",3,3,0
,Waverly,"2,142",12,6,6
,Waynesboro,"22,313",60,51,9
,Weber City,"1,322",5,5,0
,West Point,"3,177",9,8,1
,White Stone,336,1,1,0
,Williamsburg,"12,584",42,37,5
,Winchester,"26,252",101,75,26
,Wise,"3,226",13,12,1
,Woodstock,"4,315",17,16,1
,Wytheville,"8,336",40,26,14
WASHINGTON,Aberdeen,"16,000",48,36,12
,Airway Heights,"5,384",14,13,1
,Algona,"2,763",9,8,1
,Anacortes,"17,063",33,25,8
,Arlington,"17,413",35,29,6
,Asotin,"1,133",4,2,2
,Auburn,"56,934",129,98,31
,Bainbridge Island,"22,061",26,21,5
,Battle Ground,"17,865",33,27,6
,Bellevue,"125,054",218,175,43
,Bellingham,"80,243",157,110,47
,Black Diamond,"4,007",12,11,1
,Blaine,"5,128",15,12,3
,Bonney Lake,"17,461",35,30,5
,Bothell,"32,517",84,58,26
,Bremerton,"35,888",78,63,15
,Brewster,"2,076",8,6,2
,Brier,"6,340",8,6,2
,Buckley,"5,514",19,9,10
,Burien,"31,263",39,38,1
,Burlington,"8,920",31,25,6
,Camas,"18,618",30,25,5
,Castle Rock,"2,120",6,5,1
,Centralia,"15,811",39,32,7
,Chehalis,"7,397",22,17,5
,Cheney,"10,572",20,14,6
,Chewelah,"2,313",7,6,1
,Clarkston,"7,194",15,14,1
,Cle Elum,"3,514",11,9,2
,Clyde Hill,"2,708",9,8,1
,Colfax,"2,744",7,6,1
,College Place,"9,106",13,10,3
,Colton,395,1,1,0
,Colville,"4,919",14,12,2
,Connell,"3,214",6,6,0
,Cosmopolis,"1,669",4,3,1
,Coulee Dam,"1,051",7,7,0
,Coupeville,"1,907",4,4,0
,Covington,"18,619",15,15,0
,Des Moines,"28,667",60,45,15
,Dupont,"7,799",11,10,1
,Duvall,"6,150",17,15,2
,East Wenatchee,"12,355",24,21,3
,Eatonville,"2,512",6,5,1
,Edgewood,"9,778",10,9,1
,Edmonds,"40,227",63,54,9
,Ellensburg,"17,331",37,27,10
,Elma,"3,114",8,7,1
,Enumclaw,"10,640",30,17,13
,Ephrata,"7,399",18,15,3
,Everett,"98,431",245,199,46
,Everson,"2,210",6,6,0
,Federal Way,"84,219",163,132,31
,Ferndale,"11,669",21,19,2
,Fife,"8,622",52,28,24
,Fircrest,"6,251",9,9,0
,Forks,"3,276",14,7,7
,Gig Harbor,"7,059",19,17,2
,Goldendale,"3,733",10,9,1
,Grand Coulee,"1,924",7,7,0
,Grandview,"9,498",24,18,6
,Granger,"3,019",5,5,0
,Granite Falls,"3,180",8,7,1
,Hoquiam,"8,823",19,18,1
,Issaquah,"25,019",58,31,27
,Kalama,"2,295",5,5,0
,Kelso,"12,226",31,27,4
,Kenmore,"20,568",15,15,0
,Kennewick,"64,009",105,87,18
,Kent,"84,363",179,127,52
,Kettle Falls,"1,430",5,4,1
,Kirkland,"47,565",92,66,26
,Kittitas,"1,246",2,2,0
,La Center,"2,660",11,9,2
,Lacey,"41,915",69,55,14
,Lake Forest Park,"12,394",23,19,4
,Lake Stevens,"13,758",26,21,5
,Lakewood,"56,824",120,100,20
,Langley,"1,085",4,4,0
,Liberty Lake,"7,592",10,9,1
,Long Beach,"1,361",7,6,1
,Longview,"36,778",69,54,15
,Lynden,"12,022",18,14,4
,Lynnwood,"33,544",114,80,34
,Mabton,"2,088",1,1,0
,Maple Valley,"20,700",12,12,0
,Marysville,"35,110",78,50,28
,Mattawa,"3,227",4,4,0
,McCleary,"1,616",4,4,0
,Medina,"3,634",9,8,1
,Mercer Island,"24,411",34,31,3
,Mill Creek,"17,270",31,24,7
,Milton,"6,901",13,12,1
,Monroe,"17,458",45,34,11
,Montesano,"3,633",10,8,2
,Morton,"1,090",4,3,1
,Moses Lake,"19,214",40,32,8
,Mossyrock,505,2,2,0
,Mountlake Terrace,"19,853",38,28,10
,Mount Vernon,"32,096",54,42,12
,Moxee,"2,601",4,4,0
,Mukilteo,"21,057",32,28,4
,Napavine,"1,618",3,2,1
,Newcastle,"10,138",7,7,0
,Normandy Park,"6,225",15,13,2
,North Bend,"4,618",7,7,0
,Oak Harbor,"23,098",40,27,13
,Ocean Shores,"5,180",13,12,1
,Odessa,913,2,2,0
,Olympia,"45,603",91,65,26
,Omak,"4,697",15,12,3
,Oroville,"1,653",6,5,1
,Orting,"6,511",10,9,1
,Othello,"6,662",21,15,6
,Pacific,"6,102",14,12,2
,Palouse,926,3,3,0
,Pasco,"58,316",78,67,11
,Port Angeles,"19,044",55,33,22
,Port Orchard,"7,973",23,21,2
,Port Townsend,"9,223",19,15,4
,Poulsbo,"8,271",21,17,4
,Prosser,"5,148",19,12,7
,Pullman,"27,141",40,28,12
,Puyallup,"36,659",79,58,21
,Quincy,"5,977",15,13,2
,Raymond,"2,853",7,6,1
,Reardan,596,1,1,0
,Redmond,"50,009",122,82,40
,Renton,"63,599",167,123,44
,Republic,939,3,3,0
,Richland,"47,040",65,57,8
,Ridgefield,"4,681",8,7,1
,Ritzville,"1,736",4,4,0
,Rosalia,581,1,1,0
,Roy,809,3,3,0
,Royal City,"1,981",3,3,0
,Ruston,733,3,3,0
,Sammamish,"40,837",23,23,0
,SeaTac,"25,886",46,43,3
,Seattle,"602,531","1,857","1,351",506
,Sedro Woolley,"11,114",17,13,4
,Selah,"7,215",15,14,1
,Sequim,"5,979",21,18,3
,Shelton,"9,372",23,19,4
,Shoreline,"51,877",51,49,2
,Snohomish,"8,794",24,20,4
,Snoqualmie,"9,772",16,13,3
,Soap Lake,"1,838",4,4,0
,South Bend,"1,783",4,3,1
,Spokane,"202,932",393,291,102
,Spokane Valley,"86,756",102,101,1
,Springdale,276,1,1,0
,Stanwood,"6,340",13,11,2
,Steilacoom,"6,061",13,12,1
,Sumas,"1,265",6,6,0
,Sumner,"9,832",32,19,13
,Sunnyside,"15,040",42,23,19
,Tacoma,"197,557",432,389,43
,Tenino,"2,241",7,6,1
,Tieton,"1,161",2,2,0
,Toledo,681,2,2,0
,Tonasket,942,5,4,1
,Toppenish,"9,185",21,15,6
,Tukwila,"17,084",81,66,15
,Tumwater,"14,235",29,24,5
,Twisp,896,2,2,0
,Union Gap,"5,707",20,17,3
,University Place,"30,385",23,22,1
,Vader,614,1,1,0
,Vancouver,"165,147",228,199,29
,Walla Walla,"30,658",75,45,30
,Wapato,"4,537",18,11,7
,Warden,"2,585",5,4,1
,Washougal,"14,182",21,19,2
,Wenatchee,"30,051",53,42,11
,Westport,"2,631",9,7,2
,West Richland,"11,162",18,15,3
,White Salmon,"2,434",6,6,0
,Wilbur,874,2,2,0
,Winlock,"1,254",2,2,0
,Winthrop,392,3,3,0
,Woodinville,"11,417",13,13,0
,Woodland,"4,952",12,10,2
,Yakima,"84,167",185,137,48
,Yelm,"6,182",15,13,2
,Zillah,"2,735",8,7,1
WEST VIRGINIA,Alderson,"1,068",2,2,0
,Anmoore,778,2,2,0
,Ansted,"1,578",2,2,0
,Athens,"1,181",1,1,0
,Barboursville,"3,428",19,17,2
,Barrackville,"1,289",1,1,0
,Bayard,287,1,1,0
,Beckley,"16,777",68,48,20
,Belington,"1,798",3,3,0
,Belle,"1,148",4,4,0
,Benwood,"1,416",12,6,6
,Berkeley Springs,677,2,2,0
,Bethlehem,"2,470",5,4,1
,Bluefield,"11,056",28,21,7
,Bradshaw,243,3,3,0
,Bramwell,410,1,1,0
,Bridgeport,"7,982",27,25,2
,Buckhannon,"5,476",11,10,1
,Burnsville,465,2,1,1
,Cameron,"1,064",4,2,2
,Capon Bridge,279,1,1,0
,Cedar Grove,796,2,2,0
,Ceredo,"1,575",9,6,3
,Chapmanville,"1,108",5,5,0
,Charleston,"49,976",202,179,23
,Charles Town,"5,005",18,15,3
,Chesapeake,"1,532",2,2,0
,Chester,"2,305",7,6,1
,Clarksburg,"16,409",45,40,5
,Clendenin,"1,034",4,4,0
,Danville,531,3,3,0
,Delbarton,428,3,3,0
,Dunbar,"7,614",16,13,3
,East Bank,883,3,3,0
,Eleanor,"1,577",2,2,0
,Elkins,"6,972",11,8,3
,Fairmont,"18,997",41,35,6
,Fairview,441,2,2,0
,Farmington,387,1,1,0
,Fayetteville,"2,652",12,11,1
,Follansbee,"2,829",7,7,0
,Fort Gay,793,3,3,0
,Gary,732,1,1,0
,Gassaway,872,2,2,0
,Gauley Bridge,685,6,4,2
,Gilbert,384,2,2,0
,Glasgow,727,3,3,0
,Glen Dale,"1,380",8,5,3
,Glenville,"1,447",4,3,1
,Grafton,"5,297",6,5,1
,Grantsville,530,1,1,0
,Grant Town,635,1,1,0
,Granville,816,14,13,1
,Hamlin,"1,100",3,2,1
,Harpers Ferry/Bolivar,"1,369",5,4,1
,Harrisville,"1,814",1,1,0
,Henderson,307,1,1,0
,Hinton,"2,498",12,10,2
,Huntington,"48,904",105,98,7
,Hurricane,"6,435",18,16,2
,Iaeger,288,1,1,0
,Kenova,"3,245",11,7,4
,Kermit,218,1,1,0
,Keyser,"5,217",17,12,5
,Keystone,358,1,1,0
,Kimball,330,3,3,0
,Kingwood,"2,949",3,3,0
,Lewisburg,"3,524",13,11,2
,Logan,"1,488",11,8,3
,Lumberport,970,2,2,0
,Mabscott,"1,345",5,4,1
,Madison,"2,566",6,5,1
,Man,684,4,4,0
,Mannington,"2,075",4,4,0
,Marlinton,"1,189",1,1,0
,Marmet,"1,596",5,5,0
,Martinsburg,"17,275",57,46,11
,Mason,"1,037",5,4,1
,Masontown,654,1,1,0
,Matewan,477,1,1,0
,Matoaka,304,2,2,0
,McMechen,"1,703",3,3,0
,Milton,"2,420",6,5,1
,Monongah,908,1,1,0
,Montgomery,"1,920",6,5,1
,Moorefield,"2,444",4,4,0
,Morgantown,"29,989",68,58,10
,Moundsville,"9,019",22,18,4
,Mount Hope,"1,370",5,4,1
,Mullens,"1,565",5,5,0
,New Cumberland,979,4,3,1
,New Haven,"1,525",4,3,1
,New Martinsville,"5,520",14,10,4
,Nitro,"6,770",14,13,1
,Northfork,411,3,3,0
,Nutter Fort,"1,628",6,6,0
,Oak Hill,"7,172",16,14,2
,Oceana,"1,397",5,4,1
,Paden City,"2,572",5,4,1
,Parkersburg,"31,419",73,63,10
,Parsons,"1,367",1,1,0
,Paw Paw,485,2,1,1
,Pennsboro,"1,150",3,1,2
,Petersburg,"2,814",6,3,3
,Philippi,"2,774",7,7,0
,Pineville,649,3,3,0
,Point Pleasant,"4,432",10,9,1
,Pratt,527,1,1,0
,Princeton,"6,248",23,19,4
,Rainelle,"1,462",2,2,0
,Ranson,"4,838",14,13,1
,Ravenswood,"3,925",11,10,1
,Reedsville,538,4,1,3
,Richwood,"2,292",5,5,0
,Ridgeley,673,3,3,0
,Ripley,"3,239",10,9,1
,Rivesville,905,1,1,0
,Romney,"1,909",4,3,1
,Ronceverte,"1,598",5,5,0
,Rowlesburg,613,1,1,0
,Salem,"2,046",4,3,1
,Shepherdstown,"1,140",7,4,3
,Shinnston,"2,238",8,8,0
,Sistersville,"1,395",4,4,0
,Smithers,838,5,4,1
,Sophia,"1,227",5,5,0
,South Charleston,"12,326",45,40,5
,Spencer,"2,136",6,6,0
,St. Albans,"10,938",25,21,4
,Star City,"1,691",6,5,1
,St. Marys,"1,913",4,4,0
,Stonewood,"1,843",2,2,0
,Summersville,"3,305",16,15,1
,Sutton,980,2,1,1
,Sylvester,530,2,2,0
,Terra Alta,"1,509",1,1,0
,Triadelphia,798,1,1,0
,Vienna,"10,509",23,18,5
,Wardensville,259,2,2,0
,Wayne,"1,117",1,1,0
,Webster Springs,741,3,3,0
,Weirton,"18,577",41,38,3
,Welch,"2,176",11,10,1
,Wellsburg,"2,561",7,6,1
,West Logan,386,1,1,0
,Weston,"4,261",7,5,2
,Westover,"4,105",8,8,0
,West Union,774,1,1,0
,Wheeling,"28,660",80,78,2
