Table 78,,,,,
Full-time Law Enforcement Employees,,,,,
"by State by City, 2009",,,,,
State,City,Population,Total law enforcement employees,Total officers,Total civilians
,Monrovia,"37,723",83,53,30
,Montclair,"36,819",70,47,23
,Montebello,"61,870",126,83,43
,Monterey,"27,554",72,53,19
,Monterey Park,"61,353",106,77,29
,Moraga,"17,131",10,9,1
,Morgan Hill,"38,568",54,37,17
,Morro Bay,"10,327",20,14,6
,Mountain View,"71,423",142,94,48
,Mount Shasta,"3,528",13,9,4
,Murrieta,"105,238",132,90,42
,Napa,"74,736",114,71,43
,National City,"59,230",125,90,35
,Nevada City,"2,920",10,10,0
,Newark,"41,685",77,55,22
,Newman,"10,646",16,13,3
,Newport Beach,"79,912",228,139,89
,Novato,"53,374",77,58,19
,Oakdale,"20,902",35,26,9
,Oakland,"404,553","1,057",793,264
,Oceanside,"170,579",304,206,98
,Ontario,"173,212",324,220,104
,Orange,"137,132",229,159,70
,Orland,"7,281",10,8,2
,Oroville,"14,765",34,23,11
,Oxnard,"187,357",374,233,141
,Pacifica,"37,668",48,36,12
,Pacific Grove,"14,502",26,19,7
,Palm Springs,"48,537",148,92,56
,Palo Alto,"59,490",154,86,68
,Palos Verdes Estates,"13,610",35,25,10
,Paradise,"26,471",40,26,14
,Parlier,"13,500",19,16,3
,Pasadena,"144,063",367,244,123
,Paso Robles,"29,204",46,36,10
,Petaluma,"54,649",94,67,27
,Piedmont,"10,427",27,19,8
,Pinole,"18,766",47,32,15
,Pismo Beach,"8,573",34,23,11
