Table 78,,,,,,
Full-time Law Enforcement Employees ,,,,,,
"by State by City, 2006",,,,,,
State,City,Total law enforcement employees,Total officers,Total civilians,,
,Flippin,7,7,0,,
,Fordyce,11,6,5,,
,Forrest City,48,38,10,,
,Fort Smith,208,164,44,,
,Gassville,4,4,0,,
,Gentry,10,8,2,,
,Glenwood,3,3,0,,
,Gosnell,8,8,0,,
,Gould,4,4,0,,
,Gravette,8,7,1,,
,Greenbrier,15,10,5,,
,Green Forest,8,6,2,,
,Greenland,4,4,0,,
,Greenwood,19,18,1,,
,Greers Ferry,3,2,1,,
,Gurdon,4,3,1,,
,Hamburg,6,5,1,,
,Hampton,4,4,0,,
,Harrisburg,5,4,1,,
,Harrison,38,28,10,,
,Hazen,6,5,1,,
,Heber Springs,21,13,8,,
,Helena-West Helena,40,29,11,,
,Hermitage,3,3,0,,
,Highland,3,3,0,,
,Hope,37,26,11,,
,Horseshoe Bend,5,5,0,,
,Hot Springs,126,95,31,,
,Hoxie,5,4,1,,
,Huntsville,7,6,1,,
,Jacksonville,86,74,12,,
,Jonesboro,140,127,13,,
,Judsonia,3,2,1,,
,Kensett,3,3,0,,
,Lake City,4,4,0,,
,Lakeview,2,2,0,,
,Lake Village,16,9,7,,
,Leachville,4,4,0,,
,Lepanto,8,4,4,,
,Lincoln,5,5,0,,
,Little Flock,6,6,0,,
,Little Rock,631,519,112,,
,Lonoke,18,13,5,,
,Lowell,21,15,6,,
,Luxora,3,3,0,,
,Magnolia,26,21,5,,
,Malvern,28,24,4,,
,Marianna,14,9,5,,
,Marion,21,19,2,,
,Marked Tree,12,8,4,,
,Marmaduke,4,4,0,,
,Marvell,5,2,3,,
,Maumelle,31,24,7,,
,Mayflower,6,5,1,,
,McCrory,5,5,0,,
,McGehee,22,8,14,,
,McRae,3,1,2,,
,Mena,14,13,1,,
,Mineral Springs,3,3,0,,
,Monticello,27,22,5,,
,Morrilton,31,20,11,,
,Mountain Home,34,25,9,,
,Mountain View,8,7,1,,
,Murfreesboro,3,3,0,,
,Nashville,16,15,1,,
,Newport,23,16,7,,
,North Little Rock,216,187,29,,
,Ola,3,3,0,,
,Osceola,36,22,14,,
,Ozark,10,8,2,,
,Pangburn,2,2,0,,
,Paragould,50,42,8,,
,Paris,13,8,5,,
,Pea Ridge,7,7,0,,
,Piggott,9,8,1,,
,Pine Bluff,156,132,24,,
,Plainview,2,2,0,,
,Plummerville,4,4,0,,
,Pocahontas,14,12,2,,
,Pottsville,5,5,0,,
,Prairie Grove,9,8,1,,
,Prescott,9,8,1,,
,Quitman,4,4,0,,
,Redfield,5,4,1,,
,Rison,3,3,0,,
,Rockport,9,5,4,,
,Rogers,120,84,36,,
,Rose Bud,2,2,0,,
,Russellville,57,49,8,,
,Salem,3,3,0,,
,Searcy,53,39,14,,
,Sheridan,25,12,13,,
,Sherwood,82,57,25,,
,Siloam Springs,41,25,16,,
,Smackover,4,4,0,,
,Springdale,136,100,36,,
,Star City,5,4,1,,
,Stuttgart,30,21,9,,
,Sulphur Springs,2,2,0,,
,Swifton,2,1,1,,
,Texarkana,118,80,38,,
,Trumann,22,15,7,,
,Tuckerman,6,5,1,,
,Van Buren,57,43,14,,
,Vilonia,7,7,0,,
,Waldron,10,9,1,,
,Walnut Ridge,9,8,1,,
,Ward,8,6,2,,
,Warren,21,13,8,,
,Weiner,1,1,0,,
,West Fork,7,6,1,,
,West Memphis,102,82,20,,
,White Hall,15,13,2,,
,Wynne,18,16,2,,
CALIFORNIA,Alameda,142,98,44,,
,Albany,37,27,10,,
,Alhambra,126,82,44,,
,Alturas,7,6,1,,
,Anaheim,579,410,169,,
,Anderson,30,20,10,,
,Antioch,154,105,49,,
,Arcadia,96,59,37,,
,Arcata,34,23,11,,
,Arroyo Grande,36,27,9,,
,Arvin,20,14,6,,
,Atascadero,43,28,15,,
,Atherton,27,21,6,,
,Atwater,41,32,9,,
,Auburn,35,24,11,,
,Azusa,79,54,25,,
,Bakersfield,477,321,156,,
,Baldwin Park,99,70,29,,
,Banning,61,41,20,,
,Barstow,50,34,16,,
,Bear Valley,16,8,8,,
,Beaumont,38,27,11,,
,Bell,52,40,12,,
,Bell Gardens,69,51,18,,
,Belmont,42,31,11,,
,Belvedere,8,7,1,,
,Benicia,46,32,14,,
,Berkeley,289,184,105,,
,Beverly Hills,194,131,63,,
,Bishop,19,13,6,,
,Blue Lake,7,5,2,,
,Blythe,39,23,16,,
,Brawley,40,28,12,,
,Brea,146,107,39,,
,Brentwood,68,54,14,,
,Brisbane,20,17,3,,
,Broadmoor,11,10,1,,
,Buena Park,143,91,52,,
,Burbank,250,155,95,,
,Burlingame,60,42,18,,
,Calexico,66,46,20,,
,California City,21,15,6,,
,Calipatria,6,6,0,,
,Calistoga,14,10,4,,
,Campbell,64,43,21,,
,Capitola,33,21,12,,
,Carlsbad,155,112,43,,
,Carmel,16,10,6,,
,Cathedral City,86,55,31,,
,Ceres,68,46,22,,
